I????????	10	0	0	0
I??????_?	10	1	0	0
I??????o?	10	2	0	0
I??????w?	10	3	0	0
I??????{?	10	4	0	0
I??????}?	10	5	0	0
I??????~?	10	6	0	0
I??????~_	10	7	0	0
I??????~o	10	8	0	0
I??????~w	10	9	0	0
I????A?O?	10	2	0	1
I????A?o?	10	3	0	1
I????A?W?	10	3	0	1
I????A?w?	10	4	0	1
I????A?[?	10	4	0	1
I????A?{?	10	5	0	1
I????A?]?	10	5	0	1
I????A?}?	10	6	0	1
I????A?^?	10	6	0	1
I????A?~?	10	7	0	1
I????A?^_	10	7	0	1
I????A?~_	10	8	0	1
I????A?^o	10	8	0	1
I????A?~o	10	9	0	0
I????B?o?	10	4	0	0
I????B?w?	10	5	0	1
I????B?K?	10	4	0	2
I????B?k?	10	5	0	2
I????B?{?	10	6	0	2
I????B?M?	10	5	0	2
I????B?m?	10	6	0	2
I????B?}?	10	7	0	2
I????B?N?	10	6	0	2
I????B?n?	10	7	0	2
I????B?~?	10	8	0	2
I????B?N_	10	7	0	2
I????B?n_	10	8	0	2
I????B?~_	10	9	0	1
I????B?No	10	8	0	1
I????B?no	10	9	0	1
I????B?~o	10	10	0	0
I????B?KG	10	5	0	2
I????B?MG	10	6	0	2
I????B?NG	10	7	0	2
I????B?Ng	10	8	0	1
I????B?Nw	10	9	0	0
I????B_w?	10	6	0	0
I????B_s?	10	6	0	2
I????B_{?	10	7	0	1
I????B_e?	10	6	0	3
I????B_u?	10	7	0	3
I????B_}?	10	8	0	2
I????B_F?	10	6	0	3
I????B_f?	10	7	0	3
I????B_v?	10	8	0	3
I????B_~?	10	9	0	2
I????B_F_	10	7	0	2
I????B_f_	10	8	0	3
I????B_v_	10	9	0	2
I????B_~_	10	10	0	1
I????B_Fo	10	8	0	1
I????B_fo	10	9	0	2
I????B_vo	10	10	0	1
I????B_~o	10	11	0	0
I????B_FG	10	7	0	2
I????B_Fg	10	8	0	1
I????B_Fw	10	9	0	0
I????Bo{?	10	8	0	0
I????Boy?	10	8	0	2
I????Bo}?	10	9	0	1
I????Bor?	10	8	0	4
I????Boz?	10	9	0	3
I????Bo~?	10	10	0	2
I????Bob_	10	8	0	3
I????Bor_	10	9	0	3
I????Boz_	10	10	0	2
I????Bo~_	10	11	0	1
I????BoBo	10	8	0	1
I????Bobo	10	9	0	2
I????Boro	10	10	0	2
I????Bozo	10	11	0	1
I????Bo~o	10	12	0	0
I????BoBw	10	9	0	0
I????Bw}?	10	10	0	0
I????Bw|?	10	10	0	2
I????Bw~?	10	11	0	1
I????Bwx_	10	10	0	3
I????Bw|_	10	11	0	2
I????Bw~_	10	12	0	1
I????Bwpo	10	10	0	3
I????Bwxo	10	11	0	2
I????Bw|o	10	12	0	1
I????Bw~o	10	13	0	0
I????B{~?	10	12	0	0
I????B{}_	10	12	0	2
I????B{~_	10	13	0	1
I????B{{o	10	12	0	2
I????B{}o	10	13	0	1
I????B{~o	10	14	0	0
I????B}~_	10	14	0	0
I????B}~O	10	14	0	1
I????B}~o	10	15	0	0
I????B~~o	10	16	0	0
I???C@?o?	10	4	0	2
I???C@?G?	10	3	0	2
I???C@?g?	10	4	0	2
I???C@?w?	10	5	0	2
I???C@?K?	10	4	0	2
I???C@?k?	10	5	0	2
I???C@?{?	10	6	0	2
I???C@?M?	10	5	0	2
I???C@?m?	10	6	0	2
I???C@?}?	10	7	0	2
I???C@?N?	10	6	0	2
I???C@?n?	10	7	0	2
I???C@?~?	10	8	0	2
I???C@?N_	10	7	0	2
I???C@?n_	10	8	0	2
I???C@?~_	10	9	0	2
I???CB?w?	10	6	0	2
I???CB?[?	10	6	0	3
I???CB?{?	10	7	0	3
I???CB?M?	10	6	0	3
I???CB?m?	10	7	0	3
I???CB?]?	10	7	0	3
I???CB?}?	10	8	0	3
I???CB?N?	10	7	0	3
I???CB?n?	10	8	0	3
I???CB?^?	10	8	0	3
I???CB?~?	10	9	0	2
I???CB?N_	10	8	0	3
I???CB?n_	10	9	0	2
I???CB?^_	10	9	0	2
I???CB?~_	10	10	0	1
I???CB?OO	10	5	1	3
I???CB?WO	10	6	1	3
I???CB?[O	10	7	1	3
I???CB?]O	10	8	1	3
I???CB?^O	10	9	1	3
I???CB?^o	10	10	1	2
I???C@_o?	10	5	0	3
I???C@_W?	10	5	0	1
I???C@_w?	10	6	0	2
I???C@_c?	10	5	0	3
I???C@_s?	10	6	0	3
I???C@_[?	10	6	0	2
I???C@_{?	10	7	0	3
I???C@_E?	10	5	0	3
I???C@_e?	10	6	0	3
I???C@_U?	10	6	0	3
I???C@_u?	10	7	0	3
I???C@_]?	10	7	0	3
I???C@_}?	10	8	0	3
I???C@_F?	10	6	0	3
I???C@_f?	10	7	0	3
I???C@_V?	10	7	0	3
I???C@_v?	10	8	0	3
I???C@_^?	10	8	0	3
I???C@_~?	10	9	0	3
I???C@_F_	10	7	0	3
I???C@_f_	10	8	0	3
I???C@_V_	10	8	0	3
I???C@_v_	10	9	0	3
I???C@_^_	10	9	0	3
I???C@_~_	10	10	0	2
I???C@_cG	10	6	0	3
I???C@_EG	10	6	0	3
I???C@_eG	10	7	0	3
I???C@_FG	10	7	0	3
I???C@_fG	10	8	0	3
I???C@_Fg	10	8	0	3
I???C@_fg	10	9	0	2
I???CB_{?	10	8	0	2
I???CB_u?	10	8	0	4
I???CB_]?	10	8	0	4
I???CB_}?	10	9	0	3
I???CB_f?	10	8	0	4
I???CB_V?	10	8	0	4
I???CB_v?	10	9	0	4
I???CB_^?	10	9	0	4
I???CB_~?	10	10	0	3
I???CB_F_	10	8	0	3
I???CB_f_	10	9	0	4
I???CB_V_	10	9	0	4
I???CB_v_	10	10	0	3
I???CB_^_	10	10	0	3
I???CB_~_	10	11	0	2
I???CB_WO	10	7	1	3
I???CB_SO	10	7	1	4
I???CB_[O	10	8	1	4
I???CB_EO	10	7	0	4
I???CB_UO	10	8	1	4
I???CB_]O	10	9	1	4
I???CB_FO	10	8	0	3
I???CB_VO	10	9	1	4
I???CB_^O	10	10	1	3
I???CB_Fo	10	9	0	2
I???CB_Vo	10	10	1	3
I???CB_^o	10	11	1	2
I???CB_Fg	10	9	0	2
I???CB_EW	10	8	0	3
I???CB_FW	10	9	0	2
I???CB_Fw	10	10	0	1
I???C@ow?	10	7	0	3
I???C@o[?	10	7	0	1
I???C@o{?	10	8	0	2
I???C@oq?	10	7	0	4
I???C@oY?	10	7	0	3
I???C@oy?	10	8	0	4
I???C@o]?	10	8	0	2
I???C@o}?	10	9	0	3
I???C@ob?	10	7	0	4
I???C@oR?	10	7	0	4
I???C@or?	10	8	0	4
I???C@oZ?	10	8	0	4
I???C@oz?	10	9	0	4
I???C@o^?	10	9	0	3
I???C@o~?	10	10	0	3
I???C@oB_	10	7	0	4
I???C@ob_	10	8	0	3
I???C@oR_	10	8	0	4
I???C@or_	10	9	0	4
I???C@oZ_	10	9	0	4
I???C@oz_	10	10	0	3
I???C@o^_	10	10	0	3
I???C@o~_	10	11	0	2
I???C@obG	10	8	0	3
I???C@oBg	10	8	0	3
I???C@obg	10	9	0	2
I???CBo{?	10	9	0	1
I???CBoy?	10	9	0	3
I???CBo}?	10	10	0	2
I???CBor?	10	9	0	5
I???CBoz?	10	10	0	4
I???CBo^?	10	10	0	4
I???CBo~?	10	11	0	3
I???CBob_	10	9	0	4
I???CBor_	10	10	0	4
I???CBoZ_	10	10	0	4
I???CBoz_	10	11	0	3
I???CBo^_	10	11	0	3
I???CBo~_	10	12	0	2
I???CBo[O	10	9	1	3
